Fact ID,Category,Fact
001,Space,A day on Venus is longer than its year
002,Ocean,More people have been to space than the Mariana Trench
003,Nature,Honey never spoils - it can last thousands of years
004,Tech,The first computer bug was an actual moth
005,History,Oxford University predates the Aztec Empire
006,Math,A googol is 1 followed by 100 zeros
007,Biology,Octopuses have three hearts
008,Physics,Light takes 8 minutes to reach Earth from the Sun
009,Chemistry,Diamond and graphite are both pure carbon
010,Geography,Russia spans 11 time zones
